PRODUCT_ID,PRODUCT_GROUP,YEAR,AMOUNT1,AMOUNT2,AMOUNT3,AMOUNT4,AMOUNT5,AMOUNT6,AMOUNT7,AMOUNT8,AMOUNT9,AMOUNT10,AMOUNT11,AMOUNT12
4911,5,2017,7495,78180,88421,65471,71304,4634,21479,29540,64375,35076,94643,24398
2414,7,2017,46861,66257,57917,74259,68792,21191,8242,88873,41046,20537,78474,71205
1266,9,2018,99228,5900,96959,55142,21639,34977,11973,58960,55838,64780,73982,97294
2278,2,2018,23698,70874,72201,30136,43363,76332,56659,86897,60993,56310,18566,66077
4445,8,2016,52080,60198,46354,87032,6435,77912,17100,31239,35960,81135,23910,15557
1148,8,2018,39283,34201,57003,61798,42694,10373,32938,94355,61364,78954,14729,63679
288,5,2017,76993,11381,82095,47965,88089,48262,23717,67742,64617,36787,50389,72123
4012,1,2017,81603,57522,15617,78066,36857,33261,12328,25930,91704,22363,98910,7751
4857,0,2018,64191,87791,48574,72128,34719,20796,86628,82172,32507,88092,38193,72172
439,5,2016,54900,65841,97589,38178,60122,70838,77185,81410,57202,9661,69456,66872
709,0,2018,81012,91312,85029,58695,66550,217,4372,78758,3401,25180,50840,74262
993,3,2017,26696,19314,22836,47472,39355,20567,7140,12376,24391,95099,26185,36849
5,7,2017,17244,69803,1513,37087,4329,4902,99741,70948,16353,24800,6426,40331
3096,3,2016,16174,49197,93969,72714,25075,42471,35963,41860,46754,68302,3438,88938
3577,5,2017,22243,27291,56636,15430,19913,79344,96320,24176,59749,65510,8827,28109
1757,3,2017,37551,44823,77984,42552,26135,67000,20022,69290,10008,55613,75096,74185
170,9,2018,31821,38619,74681,59379,40208,56432,84201,18759,2269,34697,24485,86210
3798,6,2016,53061,59394,245,12437,22541,45681,90141,74959,38785,48430,71222,82103
1443,4,2016,34654,23780,73692,12802,26356,76199,70059,6412,70397,77127,75156,58836
3126,0,2017,16658,31109,31705,80515,82023,17122,42201,80044,4360,92805,96696,12421
65,7,2015,39333,70772,67690,14006,91197,40072,78376,36669,62882,24830,78361,86805
4417,9,2017,15865,38365,46130,338,21227,45424,66922,72691,76105,58908,72763,22093
1663,3,2018,54684,11509,95245,34793,23069,6985,35139,18640,94026,49080,75913,23371
3177,9,2018,77877,80817,69916,62930,48693,29904,288,74748,75392,23451,47392,19510
1491,8,2017,61280,10622,82447,75253,21803,74131,56011,76129,18050,98526,43822,90108
3115,7,2016,16651,25661,40530,6993,48585,31735,63232,49235,18460,74331,87854,62030
531,0,2017,98433,71851,55756,23752,42194,53281,62260,86839,17928,26113,84110,33846
1622,9,2018,97093,65829,76186,85317,65586,5997,35876,88577,40470,26063,55458,67041
1305,3,2017,82327,56848,51927,50169,69021,21511,13978,36797,28348,41945,39720,14191
3491,4,2015,5680,99714,49818,91465,5607,65834,56505,74230,29074,74628,57916,79896
935,2,2016,65543,13465,17478,66126,55694,88614,58789,40191,79579,17901,56183,59868
815,9,2015,97620,76008,61192,96272,96025,3800,35222,84770,46315,17826,13558,63859
2022,3,2017,14099,19377,75861,26133,28142,97864,57883,51256,57209,68372,95367,50486
2544,5,2017,28352,22089,82721,10265,78681,97712,74503,62760,45547,82624,78060,75045
644,1,2018,37344,9822,63622,21960,222,33421,44676,18274,91730,4561,44782,34922
4228,7,2015,73079,15137,60492,83762,75145,2511,38344,11001,34727,39755,68650,81016
145,5,2018,19240,90003,43911,55896,25361,6826,77623,84804,5116,99905,15815,97686
1422,7,2015,6208,78942,25463,64053,67412,36716,73071,76703,66552,37245,84990,37847
2430,7,2016,49853,80592,33717,19775,43116,12880,3111,58237,32563,92158,36458,59337
4925,1,2015,5673,78752,52617,79883,3592,53039,69757,73451,74424,23932,19085,30961
4583,2,2018,42823,94866,50938,15413,41503,26735,84065,84844,2012,76676,74438,12159
2425,3,2018,94355,65044,96826,22758,80155,14895,39407,59236,98124,27139,44934,46363
4916,6,2017,94101,42280,52134,73879,16158,54596,28185,73702,33307,16974,87109,9378
2893,0,2018,85346,46529,45043,75570,3581,52893,72921,91197,27856,89321,8898,18568
238,9,2016,36248,16369,63472,87830,74158,71583,77789,75010,90680,12169,72974,7226
2308,9,2018,33863,83676,96251,31381,71343,76147,12244,33720,75176,44234,29806,99728
2710,5,2015,82476,26292,68402,66826,44035,32001,41493,70863,52682,92978,75152,64283
1311,0,2017,40951,10741,93591,1800,21420,34156,79403,38316,41156,12716,62602,97962
4909,2,2017,93834,44572,9063,55239,13165,4142,97922,33326,59822,68521,56217,66040
4117,7,2015,19140,56056,26870,31022,61821,1774,33915,80728,98923,13650,43441,6476
3389,0,2018,62039,38116,33647,1034,58771,75666,81211,49344,71009,14881,35534,31890
342,9,2015,34750,80517,40681,49685,97949,93282,79327,90050,45193,46894,95314,51992
